new_target,clean_translation
abaghari,blood
abalẹmaku,unbreakable pans of all sorts usually aluminum
aban,a u shaped metal used in floating timbers 
abaọnẹje,gossipmonger
abata,incompatible
abẹ,groin
abẹ,lower abdomen
abejufi,idleness
abẹn,grass with two sharp edges
abere,salutation for those playing or showing appreciation for great assistance as in well done
abẹtẹ,room
abẹtẹ,store room
abẹtẹ-ogho,bank
abẹtẹ-ogho,treasury
abiba,long woven mat
abibẹ,peelings
abidi,indicating the first three alphabets of the autography abd
abikpo,underneath of a bed
abilọpbilọ,gecko specie
abinọrire,holiness
abitọn,bride
abiuse,menstrual pain
abiuse,cramp
abiyari,part of the human chest wall underneath the upper arms
abọgban,hypocrite
abọgban,dubious in character
abokundo,mixture of salt fresh water
abokuroli,inferior
abokuroli,substandard
abọnẹje,backbitting
abragidi,fake
abragidi,unpleasant
adagba,store
adajẹ,innocence
adakadeke,hypocritical
adan,a bat as in the animal
adẹ,fishing
adigbẹngbẹn,mutilated maize
adikọ,the hind part of the human head
adogan,a type of metal hub not standing on a tripod
adumu,mystical aquatic giant
aduwanran,mystical terrestrial giant
afaa,purify
afanghan-urẹn,awl
afarajẹ,imitation
afarajẹ,resemblance
empty,empty
ubuufẹẹn afẹẹn,empty space
afẹfẹyẹyẹ,a speed boat
afẹfẹyẹyẹ,outboard engined boat
afẹn,albino
afẹrun-debo,one who probes
afẹrun-debo,search or query
afiala,tent
afika,eagle
afọju,a blind person
aforidan,ring leader
aforidan,inciter
aga,chair
agada,between the legs
agan,a barren person
aganna,chameleon
agigan,termites
agişifi,handkerchief
agi-sisun,reclining chair
agọ,camp
agua,impure
agua,defiled
agua,unclean
agura,star
agutan,sheep
agutan-ogbin,barren ewe
agutan-ọkẹrẹn,ram
agutan-ọṣẹre-obirẹn,ewe lamb
agutan-ọṣẹrẹ-okẹnrẹn,ram lamb
agutan-ọsọn-ro,mutton
agutan-ọya,whether or wedder
agutan-ti-ogbefun,as in a pregnant lamb
agutan-ti-orọbi,lambing
agutan-ti-orọbi,birth of a lamb
aja,town
aja,a community
aja-kaja,any or all town communities
ajagba,a type of musical instrument as in sistrum
ajako,grasshopper
ajẹn,sorcery
ajẹn,witchcraft
ajigan,giger
ajigba,name of a town
ajijalala,window shutter
ajilẹn,cranium
ajilẹn,skull
ajo,sympathy
ajogun,a warrior
ajọ,gathering
ajọnẹsẹ,head lice
aka,wire grill for smoking fish
akaba,stool
akala,vulture
akana,sugarcane
akaghan,sea fireflies producing light
akanfọ,camphor
akantin,a deaf person
akapa,pant
akaraba,a kind of bird
akarikaka,a kind of bird
akatọ,forehead
akẹrẹghẹ,a fishing gear
akidọ,monkey
akikan-ịjẹnẹkpo,paw of a tiger
olugba ma kpe wun akikẹnrẹn,to despise or disregard oneself
akikọ,immature snail or a small snail
akisa,rags
akoba,incriminating
akọ,groove
akọ,corrugation
akọbi,first born
akọbi,eldest child
akode,cloth rack
akọkọ,to reject or refuse
akọri,neophyte
akọri,beginner
akoto,combination
akuara,a eunuch
akuara,impotent male
akpakara,beetle
alabara,parrot
alala,a type of dance for women
alari,sickness
alari,rheumatic pains
alawari,megaphone
alawari,sound system
